"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"K48";"SW_PG1350_withKeyCap";1;"X";;;
2;"K1";"SW_PG1350_withKeyCap";1;"ESC";;;
3;"K7";"SW_PG1350_withKeyCap";1;"%,,f5,,,,,,,5";;;
4;"K6";"SW_PG1350_withKeyCap";1;"$,,f4,,,,,,,4";;;
5;"K63";"SW_PG1350_withKeyCap";1;"META";;;
6;"K45";"SW_PG1350_withKeyCap";1;"MACRO,,,,,,4";;;
7;"K51";"SW_PG1350_withKeyCap";1;"B";;;
8;"K49";"SW_PG1350_withKeyCap";1;"C";;;
9;"K0";"SW_PG1350_withKeyCap";1;"MACRO,,,,,,1";;;
10;"K17";"SW_PG1350_withKeyCap";1;"TAB";;;
11;"K18";"SW_PG1350_withKeyCap";1;"Q";;;
12;"K20";"SW_PG1350_withKeyCap";1;"E";;;
13;"K31";"SW_PG1350_withKeyCap";1;"MACRO,,,,,,3";;;
14;"K37";"SW_PG1350_withKeyCap";1;"G";;;
15;"K61";"SW_PG1350_withKeyCap";1;"LCTRL";;;
16;"K35";"SW_PG1350_withKeyCap";1;"D";;;
17;"K47";"SW_PG1350_withKeyCap";1;"Z";;;
18;"K62";"SW_PG1350_withKeyCap";1;"FN";;;
19;"K2";"SW_PG1350_withKeyCap";1;"~~,,,,,,,,,`";;;
20;"K16";"SW_PG1350_withKeyCap";1;"MACRO,,,,,,2";;;
21;"K46";"SW_PG1350_withKeyCap";1;"LSHIFT";;;
22;"K32";"SW_PG1350_withKeyCap";1;"CAPS";;;
23;"K65";"SW_PG1350_withKeyCap";1;"LSPACE";;;
24;"K19";"SW_PG1350_withKeyCap";1;"W";;;
25;"K64";"SW_PG1350_withKeyCap";1;"LALT";;;
26;"K3";"SW_PG1350_withKeyCap";1;"!,,f1,,,,,,,1";;;
27;"K33";"SW_PG1350_withKeyCap";1;"A";;;
28;"K60";"SW_PG1350_withKeyCap";1;"MACRO,,,,,,5";;;
29;"K22";"SW_PG1350_withKeyCap";1;"T";;;
30;"K21";"SW_PG1350_withKeyCap";1;"R";;;
31;"K34";"SW_PG1350_withKeyCap";1;"S";;;
32;"K4";"SW_PG1350_withKeyCap";1;"@,,f2,,,,,,,2";;;
33;"K5";"SW_PG1350_withKeyCap";1;"#,,f3,,,,,,,3";;;
34;"K36";"SW_PG1350_withKeyCap";1;"F";;;
35;"K50";"SW_PG1350_withKeyCap";1;"V";;;
36;"J1";"USB_Micro-B_Wuerth_629105150521";1;"USB_B_Micro";;;
37;"C2,C4,C3,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"0.1u";;;
38;"J2";"PinHeader_2x03_P2.54mm_Horizontal";1;"Conn_02x03_Odd_Even";;;
39;"D64,D33,D5,D21,D35,D47,D37,D32,D19,D45,D61,D31,D63,D4,D62,D65,D51,D7,D48,D17,D50,D60,D20,D2,D36,D18,D16,D22,D6,D49,D34,D46,D3,D0,D1";"D_0805_2012Metric_Pad1.15x1.40mm_HandSolder";35;"D";;;
40;"SW1";"SW_Push_1P1T_NO_6x6mm_H9.5mm";1;"Reset_SW";;;
41;"C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1u";;;
42;"R4,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10k";;;
43;"U1";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-AU";;;
44;"C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4.7u";;;
45;"R2,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"22R";;;
46;"Y1";"Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering";1;"Crystal";;;
47;"C6,C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22p";;;
48;"FFC1";"Hirose_FH12-15S-0.5SH_1x15-1MP_P0.50mm_Horizontal";1;"Hirose_FH12-15S-0.5SH_1x15-1MP_P0.50mm_Horizontal";;;
