Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-151.845,-173.482,-90,bottom
C2,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-158.369,-173.482,90,bottom
C3,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-147.447,-173.482,-90,bottom
C4,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-149.606,-173.482,-90,bottom
C5,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-156.21,-173.482,90,bottom
C6,22p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-180.594,-150.622,180,bottom
C7,22p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-180.594,-152.781,180,bottom
C8,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-161.255,-150.23,90,bottom
D0,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-48.145,-87.34,90,bottom
D1,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-67.195,-87.34,90,bottom
D2,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-86.245,-87.34,90,bottom
D3,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-105.295,-87.34,90,bottom
D4,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-124.345,-87.34,90,bottom
D5,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-143.395,-87.34,90,bottom
D6,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-162.445,-87.34,90,bottom
D7,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-181.495,-87.34,90,bottom
D16,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-48.145,-106.39,90,bottom
D17,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-76.72,-106.39,90,bottom
D18,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-105.295,-106.39,90,bottom
D19,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-124.345,-106.39,90,bottom
D20,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-143.395,-106.39,90,bottom
D21,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-162.445,-106.39,90,bottom
D22,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-181.495,-106.39,90,bottom
D31,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-48.145,-125.44,90,bottom
D32,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-76.72,-125.44,90,bottom
D33,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-105.295,-125.44,90,bottom
D34,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-124.345,-125.44,90,bottom
D35,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-143.395,-125.44,90,bottom
D36,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-162.445,-125.44,90,bottom
D37,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-181.495,-125.44,90,bottom
D45,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-48.145,-144.49,90,bottom
D46,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-76.72,-144.49,90,bottom
D47,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-105.295,-144.49,90,bottom
D48,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-124.345,-144.49,90,bottom
D49,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-143.395,-144.49,90,bottom
D50,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-162.445,-144.49,90,bottom
D51,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-181.495,-144.49,90,bottom
D60,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-48.145,-163.54,90,bottom
D61,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-67.195,-163.54,90,bottom
D62,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-86.245,-163.54,90,bottom
