Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
K0,"MACRO,,,,,,1",SW_PG1350_withKeyCap,53.945,-78.45,0,top
K1,ESC,SW_PG1350_withKeyCap,72.995,-78.45,0,top
K2,"~~,,,,,,,,,`",SW_PG1350_withKeyCap,92.045,-78.45,0,top
K3,"!,,f1,,,,,,,1",SW_PG1350_withKeyCap,111.095,-78.45,0,top
K4,"@,,f2,,,,,,,2",SW_PG1350_withKeyCap,130.145,-78.45,0,top
K5,"#,,f3,,,,,,,3",SW_PG1350_withKeyCap,149.195,-78.45,0,top
K6,"$,,f4,,,,,,,4",SW_PG1350_withKeyCap,168.245,-78.45,0,top
K7,"%,,f5,,,,,,,5",SW_PG1350_withKeyCap,187.295,-78.45,0,top
K16,"MACRO,,,,,,2",SW_PG1350_withKeyCap,53.945,-97.5,0,top
K17,TAB,SW_PG1350_withKeyCap,82.52,-97.5,0,top
K18,Q,SW_PG1350_withKeyCap,111.095,-97.5,0,top
K19,W,SW_PG1350_withKeyCap,130.145,-97.5,0,top
K20,E,SW_PG1350_withKeyCap,149.195,-97.5,0,top
K21,R,SW_PG1350_withKeyCap,168.245,-97.5,0,top
K22,T,SW_PG1350_withKeyCap,187.295,-97.5,0,top
K31,"MACRO,,,,,,3",SW_PG1350_withKeyCap,53.945,-116.55,0,top
K32,CAPS,SW_PG1350_withKeyCap,82.52,-116.55,0,top
K33,A,SW_PG1350_withKeyCap,111.095,-116.55,0,top
K34,S,SW_PG1350_withKeyCap,130.145,-116.55,0,top
K35,D,SW_PG1350_withKeyCap,149.195,-116.55,0,top
K36,F,SW_PG1350_withKeyCap,168.245,-116.55,0,top
K37,G,SW_PG1350_withKeyCap,187.295,-116.55,0,top
K45,"MACRO,,,,,,4",SW_PG1350_withKeyCap,53.945,-135.6,0,top
K46,LSHIFT,SW_PG1350_withKeyCap,82.52,-135.6,0,top
K47,Z,SW_PG1350_withKeyCap,111.095,-135.6,0,top
K48,X,SW_PG1350_withKeyCap,130.145,-135.6,0,top
K49,C,SW_PG1350_withKeyCap,149.195,-135.6,0,top
K50,V,SW_PG1350_withKeyCap,168.245,-135.6,0,top
K51,B,SW_PG1350_withKeyCap,187.295,-135.6,0,top
K60,"MACRO,,,,,,5",SW_PG1350_withKeyCap,53.945,-154.65,0,top
K61,LCTRL,SW_PG1350_withKeyCap,72.995,-154.65,0,top
K62,FN,SW_PG1350_withKeyCap,92.045,-154.65,0,top
K63,META,SW_PG1350_withKeyCap,111.095,-154.65,0,top
K64,LALT,SW_PG1350_withKeyCap,130.145,-154.65,0,top
K65,LSPACE,SW_PG1350_withKeyCap,168.245,-154.65,0,top
