Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D8,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-228.415,-87.34,90,bottom
D9,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-247.465,-87.34,90,bottom
D10,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-266.515,-87.34,90,bottom
D11,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-285.565,-87.34,90,bottom
D12,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-304.615,-87.34,90,bottom
D13,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-323.665,-87.34,90,bottom
D14,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-342.715,-87.34,90,bottom
D15,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-361.765,-87.34,90,bottom
D23,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-228.415,-106.39,90,bottom
D24,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-247.465,-106.39,90,bottom
D25,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-266.515,-106.39,90,bottom
D26,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-285.565,-106.39,90,bottom
D27,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-304.615,-106.39,90,bottom
D28,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-323.665,-106.39,90,bottom
D29,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-342.715,-106.39,90,bottom
D30,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-361.765,-106.39,90,bottom
D38,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-228.415,-125.44,90,bottom
D39,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-247.465,-125.44,90,bottom
D40,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-266.515,-125.44,90,bottom
D41,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-285.565,-125.44,90,bottom
D42,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-304.615,-125.44,90,bottom
D43,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-323.665,-125.44,90,bottom
D44,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-352.24,-125.44,90,bottom
D52,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-228.415,-144.49,90,bottom
D53,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-247.465,-144.49,90,bottom
D54,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-266.515,-144.49,90,bottom
D55,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-285.565,-144.49,90,bottom
D56,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-304.615,-144.49,90,bottom
D57,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-323.665,-144.49,90,bottom
D58,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-342.715,-144.49,90,bottom
D59,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-361.765,-144.49,90,bottom
D66,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-247.465,-163.54,90,bottom
D67,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-285.565,-163.54,90,bottom
D68,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-304.615,-163.54,90,bottom
D69,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-323.665,-163.54,90,bottom
D70,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-342.715,-163.54,90,bottom
D71,D,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-361.765,-163.54,90,bottom
FFC2,Hirose_FH12-15S-0.5SH_1x15-1MP_P0.50mm_Horizontal,Hirose_FH12-15S-0.5SH_1x15-1MP_P0.50mm_Horizontal,-221.83,-170.8,90,bottom
