Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
K8,"^,,f6,,,,,,,6",SW_PG1350_withKeyCap,234.215,-78.45,0,top
K9,"&,,f7,,,,,,,7",SW_PG1350_withKeyCap,253.265,-78.45,0,top
K10,"*,,f8,,,,,,,8",SW_PG1350_withKeyCap,272.315,-78.45,0,top
K11,"(,,f9,,,,,,,9",SW_PG1350_withKeyCap,291.365,-78.45,0,top
K12,"),,f10,,,,,,,0",SW_PG1350_withKeyCap,310.415,-78.45,0,top
K13,"_,,f11,,,,,,,-",SW_PG1350_withKeyCap,329.465,-78.45,0,top
K14,"+,,f12,,,,,,,=",SW_PG1350_withKeyCap,348.515,-78.45,0,top
K15,BKSP,SW_PG1350_withKeyCap,367.565,-78.45,0,top
K23,Y,SW_PG1350_withKeyCap,234.215,-97.5,0,top
K24,U,SW_PG1350_withKeyCap,253.265,-97.5,0,top
K25,I,SW_PG1350_withKeyCap,272.315,-97.5,0,top
K26,O,SW_PG1350_withKeyCap,291.365,-97.5,0,top
K27,P,SW_PG1350_withKeyCap,310.415,-97.5,0,top
K28,"{,,,,,,,,,[}",SW_PG1350_withKeyCap,329.465,-97.5,0,top
K29,"},,,,,,,,,]",SW_PG1350_withKeyCap,348.515,-97.5,0,top
K30,"|,,,,,,,,,\",SW_PG1350_withKeyCap,367.565,-97.5,0,top
K38,H,SW_PG1350_withKeyCap,234.215,-116.55,0,top
K39,J,SW_PG1350_withKeyCap,253.265,-116.55,0,top
K40,K,SW_PG1350_withKeyCap,272.315,-116.55,0,top
K41,L,SW_PG1350_withKeyCap,291.365,-116.55,0,top
K42,":,,,,,,,,,;",SW_PG1350_withKeyCap,310.415,-116.55,0,top
K43,"'""",SW_PG1350_withKeyCap,329.465,-116.55,0,top
K44,",,ENTER",SW_PG1350_withKeyCap,358.04,-116.55,0,top
K52,N,SW_PG1350_withKeyCap,234.215,-135.6,0,top
K53,M,SW_PG1350_withKeyCap,253.265,-135.6,0,top
K54,"<,,,,,,,,,,",SW_PG1350_withKeyCap,272.315,-135.6,0,top
K55,">,,,,,,,,,.",SW_PG1350_withKeyCap,291.365,-135.6,0,top
K56,"?,,,,,,,,,/",SW_PG1350_withKeyCap,310.415,-135.6,0,top
K57,RSHIFT,SW_PG1350_withKeyCap,329.465,-135.6,0,top
K58,UP,SW_PG1350_withKeyCap,348.515,-135.6,0,top
K59,DEL,SW_PG1350_withKeyCap,367.565,-135.6,0,top
K66,RSPACE,SW_PG1350_withKeyCap,253.265,-154.65,0,top
K67,RALT,SW_PG1350_withKeyCap,291.365,-154.65,0,top
K68,RCTRL,SW_PG1350_withKeyCap,310.415,-154.65,0,top
K69,LEFT,SW_PG1350_withKeyCap,329.465,-154.65,0,top
K70,DOWN,SW_PG1350_withKeyCap,348.515,-154.65,0,top
K71,RIGHT,SW_PG1350_withKeyCap,367.565,-154.65,0,top
